@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
202,'2023/12/21 00:59:54:290',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
203,'2023/12/21 00:59:54:312',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
204,'2023/12/21 00:59:54:328',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
205,'2023/12/21 00:59:54:344',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
206,'2023/12/21 00:59:54:360',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
207,'2023/12/21 00:59:54:379',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
208,'2023/12/21 00:59:54:396',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
209,'2023/12/21 00:59:54:420',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
210,'2023/12/21 00:59:54:440',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
211,'2023/12/21 00:59:54:454',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
212,'2023/12/21 00:59:54:470',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
213,'2023/12/21 00:59:54:488',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
214,'2023/12/21 00:59:54:507',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
215,'2023/12/21 00:59:54:524',4,32,39.999996,2.205,85,85.999992,100,45.999996,0.98914,0.632678
216,'2023/12/21 01:00:18:031',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
217,'2023/12/21 01:00:18:055',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
218,'2023/12/21 01:00:18:079',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
219,'2023/12/21 01:00:18:103',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
220,'2023/12/21 01:00:18:125',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
221,'2023/12/21 01:00:18:147',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
222,'2023/12/21 01:00:18:164',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
223,'2023/12/21 01:00:18:184',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
224,'2023/12/21 01:00:18:215',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
225,'2023/12/21 01:00:18:236',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
226,'2023/12/21 01:00:18:253',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
227,'2023/12/21 01:00:18:273',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
228,'2023/12/21 01:00:18:289',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
229,'2023/12/21 01:00:18:308',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
230,'2023/12/21 01:00:18:325',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
231,'2023/12/21 01:00:18:345',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
232,'2023/12/21 01:00:18:365',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
233,'2023/12/21 01:00:18:384',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
234,'2023/12/21 01:00:18:407',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
235,'2023/12/21 01:00:18:430',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
236,'2023/12/21 01:00:18:445',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
237,'2023/12/21 01:00:18:463',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
238,'2023/12/21 01:00:18:481',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
239,'2023/12/21 01:00:18:500',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
240,'2023/12/21 01:00:18:518',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
241,'2023/12/21 01:00:18:541',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
242,'2023/12/21 01:00:18:566',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
243,'2023/12/21 01:00:18:584',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
244,'2023/12/21 01:00:18:608',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
245,'2023/12/21 01:00:18:627',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
246,'2023/12/21 01:00:18:648',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
247,'2023/12/21 01:00:18:684',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
248,'2023/12/21 01:00:18:715',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
249,'2023/12/21 01:00:18:752',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
250,'2023/12/21 01:00:18:786',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
251,'2023/12/21 01:00:18:827',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
252,'2023/12/21 01:00:18:849',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
253,'2023/12/21 01:00:18:873',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
254,'2023/12/21 01:00:18:897',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
255,'2023/12/21 01:00:18:925',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
256,'2023/12/21 01:00:18:961',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
257,'2023/12/21 01:00:18:985',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
258,'2023/12/21 01:00:19:041',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
259,'2023/12/21 01:00:19:075',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
260,'2023/12/21 01:00:19:108',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
261,'2023/12/21 01:00:19:137',5,38,59.999996,3.15,59.999996,51,36,70,0.342021,0.591017
331,'2023/12/21 01:00:41:760',7,30,39,1.845,72,77,79,57,0.693703,0.148702
