@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
7217,'2023/12/04 22:38:25:050',68,39,669,48,204,-921103,0.9,0.96
7218,'2023/12/04 22:38:25:066',68,18,-486,-141,18,-16382458,0.9,0.96
7219,'2023/12/04 22:38:25:084',68,18,-486,-141,18,-16382458,0.9,0.96
7220,'2023/12/04 22:38:25:101',68,18,-486,-141,18,-16382458,0.9,0.96
7221,'2023/12/04 22:38:25:116',68,18,-486,-141,18,-16382458,0.9,0.96
7222,'2023/12/04 22:38:25:132',68,18,-486,-141,18,-16382458,0.9,0.96
7223,'2023/12/04 22:38:25:149',68,18,-486,-141,18,-16382458,0.9,0.96
7224,'2023/12/04 22:38:25:165',68,18,-486,-141,18,-16382458,0.9,0.96
7225,'2023/12/04 22:38:25:184',68,18,-486,-141,18,-16382458,0.9,0.96
7226,'2023/12/04 22:38:25:200',68,18,-486,-141,18,-16382458,0.9,0.96
7227,'2023/12/04 22:38:33:500',69,0,0,0,0,-1,0.89,0.71
7228,'2023/12/04 22:38:33:516',69,0,0,0,0,-1,0.89,0.71
7229,'2023/12/04 22:38:33:532',69,0,0,0,0,-1,0.89,0.71
7230,'2023/12/04 22:38:33:549',69,0,0,0,0,-1,0.89,0.71
7231,'2023/12/04 22:38:33:564',69,0,0,0,0,-1,0.89,0.71
7232,'2023/12/04 22:38:33:583',69,0,0,0,0,-1,0.89,0.71
7233,'2023/12/04 22:38:33:599',69,0,0,0,0,-1,0.89,0.71
7234,'2023/12/04 22:38:33:616',69,0,0,0,0,-1,0.89,0.71
7235,'2023/12/04 22:38:33:634',69,0,0,0,0,-1,0.89,0.71
7236,'2023/12/04 22:38:33:647',69,0,0,0,0,-1,0.89,0.71
7237,'2023/12/04 22:38:47:234',70,0,0,0,0,-1,0.89,0.19
7238,'2023/12/04 22:38:47:251',70,0,0,0,0,-1,0.89,0.19
7239,'2023/12/04 22:38:47:269',70,0,0,0,0,-1,0.89,0.19
7240,'2023/12/04 22:38:47:283',70,0,0,0,0,-1,0.89,0.19
7241,'2023/12/04 22:38:47:301',70,0,0,0,0,-1,0.89,0.19
7242,'2023/12/04 22:38:47:316',70,0,0,0,0,-1,0.89,0.19
7243,'2023/12/04 22:38:47:335',70,0,0,0,0,-1,0.89,0.19
7244,'2023/12/04 22:38:47:350',70,0,0,0,0,-1,0.89,0.19
