@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
152,'2023/11/28 01:46:48:273',8,-0.00304,-0.006109,0.013995,?
153,'2023/11/28 01:46:48:306',8,0.001782,-0.003153,0.004933,?
154,'2023/11/28 01:46:52:003',9,-0.001416,0.00525,-0.000217,?
155,'2023/11/28 01:46:52:036',9,-0.000586,0.00345,0.000514,?
156,'2023/11/28 01:46:52:069',9,0.005705,-0.010029,-0.009198,?
157,'2023/11/28 01:46:52:124',9,0.00297,-0.000266,-0.003674,?
158,'2023/11/28 01:46:52:138',9,0.004303,0.010922,0.000499,?
159,'2023/11/28 01:46:52:169',9,-0.000042,0.016871,0.009985,?
160,'2023/11/28 01:46:52:202',9,0.011287,0.015847,0.000641,?
161,'2023/11/28 01:46:52:251',9,0.012304,0.014294,0.001716,?
162,'2023/11/28 01:46:52:269',9,-0.002353,0.009785,0.000329,?
163,'2023/11/28 01:46:52:303',9,-0.000081,0.006637,-0.007999,?
164,'2023/11/28 01:46:52:338',9,0.000762,-0.003615,-0.003814,?
165,'2023/11/28 01:46:52:369',9,-0.001721,-0.014371,-0.000944,?
166,'2023/11/28 01:46:52:447',9,-0.007563,-0.007139,0.005522,?
167,'2023/11/28 01:46:52:448',9,-0.003053,0.001026,0.010171,?
168,'2023/11/28 01:46:52:473',9,-0.000493,0.008258,0.012771,?
169,'2023/11/28 01:46:52:502',9,-0.002306,0.015481,0.016879,?
170,'2023/11/28 01:46:52:537',9,0.003683,0.014843,0.008423,?
171,'2023/11/28 01:46:52:571',9,-0.001942,0.01707,0.00249,?
172,'2023/11/28 01:46:52:610',9,0.002398,0.00835,-0.001408,?
173,'2023/11/28 01:46:52:636',9,-0.002851,0.007848,-0.001123,?
174,'2023/11/28 01:46:52:679',9,0.005001,0.009549,-0.007008,?
175,'2023/11/28 01:46:52:725',9,-0.004367,0.011902,0.003696,?
176,'2023/11/28 01:46:52:737',9,-0.002537,0.006985,0.00281,?
177,'2023/11/28 01:46:52:769',9,0.008653,-0.002181,-0.005767,?
178,'2023/11/28 01:46:52:811',9,-0.003993,0.000383,0.004969,?
179,'2023/11/28 01:46:52:837',9,-0.002965,-0.002453,0.002578,?
180,'2023/11/28 01:46:52:869',9,0.001417,0.000804,0.003308,?
181,'2023/11/28 01:46:52:903',9,-0.004035,0.007827,0.007136,?
182,'2023/11/28 01:46:52:940',9,0.004199,0.008297,0.002386,?
183,'2023/11/28 01:46:52:979',9,0.004043,0.009293,-0.003955,?
184,'2023/11/28 01:46:53:033',9,0.003862,0.008028,0.000435,?
185,'2023/11/28 01:46:53:037',9,0.005935,0.001207,-0.001122,?
186,'2023/11/28 01:46:53:069',9,-0.008316,0.005403,0.005125,?
187,'2023/11/28 01:46:53:107',9,-0.011604,0.008366,0.004617,?
188,'2023/11/28 01:46:54:142',10,-0.003578,-0.015359,-0.005638,?
189,'2023/11/28 01:46:54:170',10,-0.004813,-0.008083,-0.003806,?
190,'2023/11/28 01:46:54:226',10,0.003192,0.002057,0.004383,?
191,'2023/11/28 01:46:54:244',10,0.000483,0.015576,0.003179,?
192,'2023/11/28 01:46:54:278',10,0.000783,0.018165,0.006413,?
193,'2023/11/28 01:46:54:304',10,-0.001339,0.014243,0.000581,?
194,'2023/11/28 01:46:54:338',10,-0.00366,0.013276,0.00395,?
195,'2023/11/28 01:46:54:373',10,0.010004,0.008055,-0.003061,?
196,'2023/11/28 01:46:54:403',10,0.003819,0.007257,-0.003376,?
197,'2023/11/28 01:46:54:436',10,0.004095,0.008348,-0.001466,?
198,'2023/11/28 01:46:54:472',10,0.007443,0.017476,-0.008392,?
199,'2023/11/28 01:46:54:504',10,0.000431,0.012602,-0.005652,?
200,'2023/11/28 01:46:54:536',10,-0.01028,0.00152,0.000509,?
201,'2023/11/28 01:46:54:572',10,-0.001144,-0.015551,-0.010888,?
202,'2023/11/28 01:46:54:605',10,0.003647,-0.008297,-0.001227,?
203,'2023/11/28 01:46:54:636',10,0.001567,0.013433,0.005472,?
204,'2023/11/28 01:46:54:669',10,0.005662,0.019,-0.000321,?
205,'2023/11/28 01:46:54:703',10,0.005512,0.021651,0.001715,?
206,'2023/11/28 01:46:54:738',10,-0.00035,0.020957,0.006839,?
207,'2023/11/28 01:46:54:769',10,-0.002852,0.017804,0.001716,?
208,'2023/11/28 01:46:54:806',10,-0.007141,0.006924,-0.002343,?
209,'2023/11/28 01:46:54:836',10,-0.011062,0.008918,0.002653,?
210,'2023/11/28 01:46:54:870',10,-0.010938,0.015787,0.001012,?
211,'2023/11/28 01:46:54:903',10,-0.010314,0.015086,0.003667,?
212,'2023/11/28 01:46:54:950',10,0.005173,0.012754,-0.002623,?
213,'2023/11/28 01:46:54:972',10,0.014273,0.004444,-0.010783,?
214,'2023/11/28 01:46:55:022',10,0.007963,0.001189,-0.014192,?
215,'2023/11/28 01:46:55:040',10,-0.00236,-0.00496,-0.009644,?
216,'2023/11/28 01:46:55:069',10,0.003722,-0.001575,0.002688,?
217,'2023/11/28 01:46:55:114',10,-0.003907,0.000967,0.007461,?
218,'2023/11/28 01:46:55:135',10,-0.002498,0.005556,0.0063,?
219,'2023/11/28 01:46:55:169',10,-0.00047,0.008074,0.007129,?
220,'2023/11/28 01:46:55:206',10,-0.002586,0.006967,0.00826,?
221,'2023/11/28 01:46:55:236',10,-0.002258,0.005432,0.00204,?
222,'2023/11/28 01:46:55:269',10,0.000964,0.006992,-0.000432,?
223,'2023/11/28 01:46:55:302',10,-0.000301,0.005341,-0.003758,?
224,'2023/11/28 01:46:55:336',10,0.001588,-0.00011,-0.003733,?
225,'2023/11/28 01:46:56:337',11,0.001627,0.006123,0.003509,?
226,'2023/11/28 01:46:56:373',11,0.000441,0.008955,0.006675,?
227,'2023/11/28 01:46:56:405',11,0.010021,0.010237,-0.007194,?
228,'2023/11/28 01:46:56:440',11,-0.002963,0.008994,-0.001755,?
229,'2023/11/28 01:46:56:469',11,0.000561,0.014286,-0.009603,?
230,'2023/11/28 01:46:56:507',11,0.004425,0.013448,-0.008884,?
231,'2023/11/28 01:46:56:536',11,0.005914,0.015431,-0.006003,?
232,'2023/11/28 01:46:56:569',11,0.000254,0.009102,0.000282,?
233,'2023/11/28 01:46:56:615',11,-0.005398,0.001817,0.002463,?
234,'2023/11/28 01:46:56:636',11,-0.003592,-0.000317,-0.001993,?
235,'2023/11/28 01:46:56:669',11,-0.002755,0.002072,-0.001689,?
236,'2023/11/28 01:46:56:703',11,-0.003389,-0.001721,-0.000708,?
237,'2023/11/28 01:46:56:736',11,-0.007615,-0.006805,0.003347,?
238,'2023/11/28 01:46:56:769',11,0.001314,-0.003682,-0.00111,?
239,'2023/11/28 01:46:56:804',11,0.000405,0.005247,-0.004745,?
240,'2023/11/28 01:46:56:838',11,0.00369,0.00711,-0.004339,?
241,'2023/11/28 01:46:56:870',11,0.002381,0.011726,-0.004741,?
242,'2023/11/28 01:46:56:918',11,0.007735,0.010214,0.000063,?
243,'2023/11/28 01:46:56:936',11,-0.001905,0.011943,0.001182,?
244,'2023/11/28 01:46:56:970',11,0.002139,0.010459,-0.00535,?
245,'2023/11/28 01:46:57:009',11,-0.002324,0.007686,-0.008286,?
246,'2023/11/28 01:46:57:036',11,-0.002748,0.000269,-0.006345,?
247,'2023/11/28 01:46:57:069',11,0.000067,0.004005,-0.000699,?
248,'2023/11/28 01:46:57:102',11,0.002206,0.007264,-0.008379,?
249,'2023/11/28 01:46:57:136',11,0.004987,0.010188,0.000862,?
250,'2023/11/28 01:46:57:169',11,-0.00117,0.011893,-0.001024,?
251,'2023/11/28 01:46:57:214',11,0.003369,0.003,-0.004101,?
252,'2023/11/28 01:46:57:236',11,0.000993,0.000618,-0.011031,?
253,'2023/11/28 01:46:57:269',11,-0.001035,0.004772,-0.00305,?
254,'2023/11/28 01:46:57:303',11,0.004908,0.001599,-0.002449,?
255,'2023/11/28 01:46:57:337',11,0.000398,0.0015,0.001564,?
256,'2023/11/28 01:46:57:371',11,0.00523,0.006884,0.006752,?
257,'2023/11/28 01:46:57:402',11,-0.001203,0.009122,0.007183,?
258,'2023/11/28 01:46:57:436',11,-0.005519,0.004575,0.004419,?
259,'2023/11/28 01:47:03:568',12,0.006213,0.011357,0.00371,?
260,'2023/11/28 01:47:03:602',12,-0.004258,0.016087,0.002263,?
261,'2023/11/28 01:47:03:635',12,-0.016378,0.017044,0.011819,?
262,'2023/11/28 01:47:03:669',12,-0.013788,0.015771,0.008756,?
263,'2023/11/28 01:47:03:705',12,-0.003357,0.010363,0.006792,?
